Gene_id,Gene_desc,lfq_rank,ibaq_rank,LFQ intensity 1,LFQ intensity 2,iBAQ 1,iBAQ 2
Tb927.5.4460,"major vault protein, putative",0.43441983044479154,1.2354712552853064,45586000000,33641000000,3159100000.0,2557000000.0
Tb927.5.4470,"hypothetical protein, conserved",-0.013109553159796481,0.2181253371386161,0,3238400,57015.0,261390.0
Tb927.5.4500,"ras-like small GTPase, putative",-0.22680236848917326,0.40067058688862167,64769000,136190000,28202000.0,70387000.0
Tb927.5.4520,Kinetochore interacting protein 1,0.43784208432426536,1.4137243946213263,4970300000,3576400000,354760000.0,250940000.0
Tb927.5.4560,"guanine deaminase, putative",-0.009743913250903758,0.4685393569330009,7305800,9759500,1236100.0,2638200.0
Tb927.5.4380,"kinetoplastid-specific phospho-protein phosphatase, putative",0.029339797732228806,1.1500614963464213,39543000,31605000,7290700.0,6339400.0
Tb05.5K5.420,"variant surface glycoprotein (VSG, pseudogene), putative",-0.010535022902994077,7.614980494227464e-07,0,2600100,0.0,1313200.0
Tb927.5.4400,"hypothetical protein, conserved",0.006591526830576823,483531.0,1624600,0,483530.0,0.0
Tb927.5.4410,"hypothetical protein, conserved",0.042443000546854744,3.8688790615661994,10592000,0,5066300.0,1309500.0
Tb927.5.4420,"nucleolar RNA helicase II, putative",-0.16141194822433264,0.35741853288053455,87897000,140300000,9539500.0,26690000.0
Tb927.5.4430,"calcium/calmodulin-dependent protein kinase, putative",-0.006291938673882269,1.669864457102017e-06,0,1550600,0.0,598850.0
Tb927.7.2140,"zinc finger protein family member, putative",-0.008138731823391263,0.9105733832143312,193200000,196300000,103860000.0,114060000.0
Tb08.27P2.160,"expression site-associated gene 3 (ESAG3), degenerate",-0.07762530216012249,0.33946214306466116,19169000,39840000,5553600.0,16360000.0
Tb927.9.15850,hypothetical protein,-0.006816986615851547,9.064531304812088e-07,0,1680300,0.0,1103200.0
Tb09.v4.0067,"retrotransposon hot spot protein, pseudogene",0.04170835309697842,1.7696581959980286,10406000,0,1971400.0,1114000.0
Tb09.v4.0154,"expression site-associated gene 3 (ESAG3, pseudogene), putative",-0.07499342997717662,1.003361159548371e-07,0,18929000,0.0,9966500.0
Tb09.v4.0194,"variant surface glycoprotein (VSG, pseudogene), putative",0.11897576332731545,4888001.0,30497000,0,4888000.0,0.0
Tb927.10.4430,pumillo RNA binding protein PUF1,-0.12756120349637876,0.8329874094853507,570320000,655840000,120400000.0,144540000.0
Tb927.10.4440,predicted SAP domain protein,-0.03626149347929386,0.07957973921002297,0,9029900,428910.0,5389700.0
Tb927.10.4450,"stress-inducible protein STI1-like, putative",-0.007005180101373451,1.5876518787478507e-06,0,1726800,0.0,629860.0
Tb927.10.4470,"hypothetical protein, conserved",-0.0035679755280495218,1.1956859650381425e-05,0,878470,0.0,83633.0
Tb927.10.4330,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative",-0.00255636085282562,4.357279488978261e-06,0,629180,0.0,229500.0
Tb927.10.4310,"prohibitin 2, putative",0.09523717586658823,1.0712240998417115,535630000,478750000,157170000.0,146720000.0
Tb10.v4.0052,microtubule-associated protein 2,-0.8749319322021456,0.8510909570813421,282200000,813380000,1673500.0,1966300.0
Tb10.v4.0062,"variant surface glycoprotein (VSG, pseudogene), putative /product",-0.03721412874898267,0.29898082268704657,0,9270200,715580.0,2393400.0
Tb10.v4.0101,"expression site-associated gene (ESAG, pseudogene), putative",-0.02145690707835891,2.8652465931501697e-07,0,5315800,0.0,3490100.0
Tb10.v4.0244,"chrX additional, unordered contig",0.03904033459847027,0.7050231375215438,9731300,0,3619800.0,5134300.0
Tb927.10.6900,base J-associated glucosyltransferase,0.019355533276074817,2.2364540548135623,4791700,0,891340.0,398550.0
Tb11.01.2730,"hypothetical protein, conserved",0.042438958436386266,1.7245178677353212,31497000,20300000,369220.0,214100.0
Tb11.02.5070b,"hypothetical protein, conserved",0.016119105766223326,1581801.0,3986000,0,1581800.0,0.0
Tb927.11.7214,"hypothetical protein, conserved",0.01872705274229575,2.131031176993668,4635100,0,951400.0,446450.0
Tb11.02.5105b,"hypothetical protein, conserved",-0.01279365441842538,0.6232206177483134,11786000,15051000,5503100.0,8830100.0
Tb927.11.7218,mitochondrial edited mRNA stability factor 1 subunit,0.009613314516792752,1.212749535390519,16547000,14081000,1005600.0,829190.0
Tb11.02.5390b,"mRNA processing protein, putative",-0.027700328711402964,0.6552026524021068,18649000,25888000,1053500.0,1607900.0
Tb11.02.5420b,"NADPH-cytochrome p450 reductase, putative",0.003696076036495356,0.9172089444682247,910050,0,169280.0,184560.0
Tb11.02.5430b,"hypothetical protein, conserved",0.007355195161548894,1.2059306968126327,1813300,0,449740.0,372940.0
Tb927.6.4980,40S ribosomal protein S14,0.26096511601621575,1.1889809785970493,862550000,661120000,773230000.0,650330000.0
Tb927.11.7690,hypothetical protein,0.0013551572326424733,1.103476856559373,1827800,1493000,129140.0,117030.0
Tb927.11.7670,"Cornifin (SPRR) family, putative",0.0,1.0,0,0,0.0,0.0
Tb11.0490,"variant surface glycoprotein (VSG, pseudogene), putative",-0.020772823152194003,2.5195432126454973,0,5145100,1202000.0,477070.0
Tb927.10.1140,epsilon tubulin,0.0442746860122662,2.0293131556872632,53800000,41452000,16061000.0,7914500.0
Tb927.11.715,"dynein light chain LC8, putative",0.12704390947567937,1.6466439446738996,75548000,39275000,110200000.0,66924000.0
Tb927.4.1100,"ribosomal protein L21E (60S), putative",0.14458955453170833,1.047356043273285,1154200000,1010300000,881790000.0,841920000.0
Tb927.10.15250,"paraflagellar rod component, putative",-0.0076438699984940454,0.3875598585420921,6333000,8251300,1039900.0,2683200.0
Tb927.11.1840,"hypothetical protein, conserved",0.003603582575500922,2.5286590200154446,14016000,13096000,5399700.0,2135400.0
Tb11.1780.1-p1,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative",0.054572804019419656,1.5342819387295636,37874000,23299000,5325800.0,3471200.0
Tb11.1790.1-p1,"retrotransposon hot spot protein (RHS, pseudogene), putative",-0.12771557511184825,0.21090840736786903,0,32838000,598030.0,2835500.0
Tb11.1810b.1-p1,"retrotransposon hot spot protein (RHS, pseudogene), putative",0.017571716445035815,0.4253182312024232,4347400,0,956370.0,2248600.0
Tb927.7.4650,J Biosynthesis Protein 2,-0.021202868076292507,2.6750771090976696e-06,0,5252400,0.0,373820.0
Tb927.7.4740,"hypothetical protein, conserved",0.012098519983469598,987991.0,2987600,0,987990.0,0.0
Tb927.7.4750,"hypothetical protein, conserved",-0.015525421615234484,0.34525437807701015,0,3838400,483390.0,1400100.0
Tb11.v5.0159,"hypothetical protein, conserved",0.003232458923630067,249311.0,795770,0,249310.0,0.0
Tb927.7.4810,"HD domain containing protein, putative",0.049772835400767164,0.8388856930303288,103160000,87631000,21832000.0,26025000.0
Tb927.7.4860,kinetoplastid kinetochore protein 13,-0.0062465901805342,1.7809090115776895e-06,0,1539400,0.0,561510.0
Tb927.7.4890,Present in the outer mitochondrial membrane proteome 34,-0.01112793903773644,3.431579453074867e-06,0,2747000,0.0,291410.0
Tb927.7.4900,5'-3' exoribonuclease A,0.18035124998847285,1.4814666611595866,238280000,168590000,11155000.0,7529700.0
Tb927.7.4940,"serine peptidase, clan SC, family S9A-like protein",0.010035961131727857,2.2718970030961234,2476500,0,190050.0,83652.0
Tb927.7.4960,"hypothetical protein, conserved",0.028266406706274064,1.7703624387107697,7019400,0,2321300.0,1311200.0
Tb927.7.4990,"hypothetical protein, conserved",-0.006413946708350207,2.4376991225509643,7286200,8899400,977080.0,400820.0
Tb927.7.5020,"60S ribosomal protein L19, putative",-0.24069556796702768,0.6229705281920401,740010000,938780000,502650000.0,806860000.0
Tb927.7.5080,ATP-NAD kinase-like protein,-0.019466684155089512,0.15004874491568854,3091500,7952900,134980.0,899580.0
Tb927.10.5950,"Serine/threonine-protein kinase NEK17, putative",0.13536695622774275,3.4000345370681333,62856000,25453000,17484000.0,5142300.0
Tb11.v5.0195,"STAG domain containing protein, putative",-0.002122571267322971,0.7073996601664816,1945400,2470600,115320.0,163020.0
Tb927.10.6060,universal minicircle sequence binding protein 2,-0.00700757175805847,0.43999126058265514,3678100,5423400,1180100.0,2682100.0
Tb927.10.6130,"hypothetical protein, conserved",-0.0001360508236704605,0.6329337351823718,6816000,6850100,2090200.0,3302400.0
Tb927.10.6140,"phosphatidylinositolN- acetylglucosaminyltransferase subunit c, putative",0.28948008441253564,39103001.0,78829000,0,39103000.0,0.0
Tb927.5.310,"invariant surface glycoprotein, putative",0.007516331763399866,1.5212396203103469,4753400,2885200,1067500.0,701730.0
Tb927.5.295b,retrotransposon hotspot (RHS) protein 1,-0.19614979140158942,0.8083865203046782,173740000,250710000,13302000.0,16455000.0
Tb927.5.450,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",0.044233861854028535,2.5863753128903175,20888000,9545000,5588900.0,2160900.0
Tb927.5.390,"75 kDa invariant surface glycoprotein, putative",0.03837998305046629,1.651240375220472,9564500,0,1570000.0,950800.0
Tb927.5.360,75 kDa invariant surface glycoprotein,0.039316974805863394,3.2663255355235603,9801200,0,1477100.0,452220.0
Tb927.10.5240,"cAMP binding protein, putative",0.028699959622221414,1.7376520085933613,68908000,60563000,1574800.0,906280.0
Tb927.10.5340,"40S ribosomal protein S18, putative",0.22911642977821006,1.0779855836205092,1323900000,1077400000,892820000.0,828230000.0
Tb927.10.5310,"SNF1-related protein kinases, putative",-0.1357487619861593,0.14839730926478484,2753100,38027000,579550.0,3905400.0
Tb927.10.5300,"eukaryotic translation initiation factor 6 (eIF-6), putative",0.0256592834208981,2.7469539431507104,6366200,0,3157900.0,1149600.0
Tb927.10.5270,mitogen-activated protein kinase kinase 5,-0.010181336748648283,0.6868903497878559,0,2512500,666510.0,970330.0
Tb927.11.7310,"RNA binding protein, putative",-0.006029950475938978,1.3324965255153098e-06,0,1485900,0.0,750470.0
Tb927.11.7290,"pantothenate kinase subunit, putative",0.004220571564592645,0.8232602177686602,4606200,3556400,172160.0,209120.0
Tb927.11.7240,nexin-dynein regulatory complex 2,0.017545603265778358,3.7327609744258714,4340900,0,861300.0,230740.0
Tb927.7.4490,"hypothetical protein, conserved",0.054080178576660566,6.6383927796580755,13551000,0,382470.0,57614.0
Tb927.7.4500,"PX domain containing protein, putative",-0.35002681199670155,0.24830964946298303,70389000,187130000,12119000.0,48806000.0
Tb927.7.4510,"Domain of unknown function (DUF4201), putative",-0.0030091571707436264,2.15679524821977,0,740740,63907.0,29630.0
Tb927.7.4550,Mitochondrial ribosomal protein L7/L12,-0.00844758611501167,5.848633846862881e-07,0,2083400,0.0,1709800.0
Tb927.7.4570,inosine-guanine nucleoside hydrolase,0.016188468887531362,1.5595544785423496,9600100,5534400,2998400.0,1922600.0
Tb927.10.6350,trypanin,0.006594188450007794,1.211576491680387,5757100,4113000,1200200.0,990610.0
Tb927.10.6310,"major vault protein, putative",0.4393581417023011,1.3070817693305348,22362000000,16398000000,2124400000.0,1625300000.0
Tb927.10.6300,Mitochondrial ribosomal protein S5,0.007271037444813611,1.6760614177453477,1792500,0,381070.0,227360.0
Tb927.11.12750,cleavage and polyadenylation specificity factor 30 kDa subunit,-0.03061298679897581,0.6570674457562502,11222000,19071000,4652300.0,7080400.0
Tb11.v5.0301,"glycerol uptake protein, putative",-0.004893983100112709,0.5446737696210988,0,1205500,1077800.0,1978800.0
Tb11.v5.0325,"retrotransposon hot spot (RHS) protein, putative",0.215910846157464,1.63086552021399,124580000,57952000,19011000.0,11657000.0
Tb11.v5.0326,"retrotransposon hot spot (RHS) protein, putative",-0.0029304104256652748,0.8517251715566262,7753100,8490200,1542900.0,1811500.0
Tb927.10.8440,glucose transporter 1B,-0.03119718250106257,0.6544708026168609,0,7755100,2563300.0,3916600.0
Tb927.1.1240,"cytidine triphosphate synthase, putative",0.0017330179154336294,0.682815804646999,42563000,42086000,7168200.0,10498000.0
Tb11.v5.0365,"hypothetical protein, conserved",0.041352590291277025,1.364835130615223,71259000,59221000,5785400.0,4238900.0
Tb11.v5.0366,"hypothetical protein, conserved",0.07076942473940807,1.098579776455255,346300000,312740000,17095000.0,15561000.0
Tb927.10.510,Present in the outer mitochondrial membrane proteome 19,-0.014343762102110968,6.444955887499428e-07,0,3544800,0.0,1551600.0
Tb927.11.1180,"cdc2-related kinase 6, putative",0.016536728648979215,0.8716665817356593,16298000,12069000,3814500.0,4376100.0
Tb927.1.1370,"rRNA biogenesis protein, putative",0.01517215211310738,8.140423738269094,3750600,0,656630.0,80662.0
Tb11.v5.0394,"hypothetical protein, conserved",0.44187111209537067,5.572069465497304,292150000,121480000,5922000.0,1062800.0
Tb927.10.16170,"potassium voltage-gated channel, putative",0.0,1.0,0,0,0.0,0.0
Tb927.10.16150,"ATP-dependent zinc metallopeptidase, putative",-0.0027805444509075784,0.5786576153320777,0,684410,83876.0,144950.0
Tb11.v5.0412,"hypothetical protein, conserved",-0.046576165785714586,0.20898149521857548,5799500,17630000,342290.0,1637900.0
Tb927.10.540,"ATP-dependent RNA helicase SUB2, putative",-0.06449344446932818,0.38524359463761904,32764000,50481000,7014900.0,18209000.0
Tb927.10.4600,predicted SET domain protein,-0.016203955293380642,1.5458793812154013e-06,0,4007100,0.0,646880.0
Tb927.10.15850,Peroxisome biogenesis factor 12,-0.027838063589697114,0.15860745750306335,0,6912000,299910.0,1890900.0
Tb11.v5.0433,"hypothetical protein, conserved",-0.00713229649986601,0.8347418838355014,17310000,19154000,4523800.0,5419400.0
Tb927.10.15390,Flagellum attachment zone protein 7,0.441182363717199,2.452471540098239,326110000,146720000,19234000.0,7842700.0
Tb927.11.3650,"adenylosuccinate synthetase, putative",0.008921736102411062,354051.0,2200700,0,354050.0,0.0
Tb927.1.1560,"vesicular-fusion protein nsf, putative",-0.39309014846397805,0.82114280041652,362340000,586940000,55313000.0,67361000.0
Tb927.1.2390,beta tubulin,0.05207136315366659,0.9186497133783911,8449300000,8137200000,2868300000.0,3122300000.0
Tb11.v5.0477,"TPR repeat, putative",-0.005399688170325783,0.8564216684239424,0,1330300,176260.0,205810.0
Tb11.v5.0480,"DNA-directed RNA polymerase, alpha subunit, putative",0.008214402768979813,0.6954492364456494,23914000,21764000,6212100.0,8932500.0
