Name	GeneDB IDs	Log2 H/L	Log10 (Int H*L)	Group	Glycosome status 
TPX3	Tb927.7.1140 	6.288289699	13.69120993	iii	green
	Tb11.01.4100 	5.590605805	10.95335854	iii	green
MD	Tb927.10.15410 	4.899292112	19.82196582	iii	green
Gim5A	Tb09.211.2730 	4.775614936	15.41364183	iii	green
PEX12	Tb927.10.15850 	4.720902873	18.05792382	iii	green
MK	Tb927.4.4070 	4.595725919	18.53157319	iii	green
	Tb927.4.1600 	4.595705553	17.12640995	iii	green
SDH-1	Tb11.01.1780 	4.570527644	16.80580674	iii	green
HGPRT-1	Tb927.10.1400 	4.471798714	17.53887914	iii	green
G3PDH	Tb927.8.3530 	4.426115866	19.97360662	iii	green
TPI	Tb11.02.3210 	4.405278464	19.59140956	iii	green
PEX11-1	Tb11.01.3370 	4.401569904	18.94998951	iii	green
Gim5B	Tb09.211.2740 	4.301358791	17.48682446	iii	green
SterDH	Tb927.3.1840 	4.293636331	18.89807483	iii	green
Ino-1-Pase	Tb927.8.7170 	4.222574333	17.68089139	iii	green
HGPRT-2	Tb927.10.1390 	4.169476999	18.63905506	iii	green
FBP	Tb09.211.0540 	4.154812629	18.62085838	iii	green
PEX13.1	Tb927.10.14720 	4.125524193	18.59023034	iii	green
dRPA	Tb927.7.5680 	4.085630392	17.46065859	iii	green
E2 ligase-1 (not PEX4)	Tb09.160.0620 	4.027468953	16.43805168	iii	green
ADPS	Tb927.6.1500 	4.025654221	18.72982608	iii	green
	Tb927.4.5730 	4.002800955	12.88548639	iii	green
	Tb927.6.4150 	3.996538202	14.03602057	iii	green
ECoAH/I/HACoADH	Tb927.2.4130 	3.980682912	18.40422675	iii	green
	Tb09.211.1230 	3.955740567	13.25237107	iii	green
	Tb927.7.330 	3.937485577	16.18803013	iii	green
ICDH	Tb11.03.0230 	3.927301099	18.68841786	iii	green
	Tb927.10.8410 	3.918937776	16.88417213	iii	green
	Tb11.02.0220 	3.91724856	17.92782724	iii	green
SBP	Tb927.2.5800 	3.911973019	18.11900067	iii	green
AK	Tb927.10.5760 	3.901107101	17.86083967	iii	green
PS/TP-1	Tb09.160.4460 	3.892038209	15.017581	iii	green
PEX2	Tb927.3.2340 	3.889169575	17.35402051	iii	green
GAT2	Tb11.02.0630 	3.833226908	18.39839016	iii	green
GAT1	Tb927.4.4050 	3.786119656	18.39034028	iii	green
GPI	Tb927.1.3830 	3.776831801	18.10263602	iii	green
	Tb09.211.2750 	3.756511897	15.77040788	iii	green
DHAPAT	Tb927.4.3160 	3.748935246	18.1324377	iii	green
GLO	Tb927.5.2650 	3.742497042	16.41327329	iii	green
	Tb927.5.960 	3.734708055	16.89496123	iii	green
	Tb927.10.9890 	3.727219677	18.59882501	iii	green
RK	Tb11.03.0090 	3.711424939	18.75914085	iii	green
PGKA	Tb927.1.720 	3.682853168	17.99942852	iii	green
HK2	Tb927.10.2020 	3.68025359	18.34445338	iii	green
SOD	Tb11.01.6660 	3.664335443	15.58899432	iii	green
GAT3	Tb11.03.0030 	3.64501248	17.9792336	iii	green
GuK	Tb927.10.6810 	3.64493298	17.7051961	iii	green
