Protein IDs,LFQ intensity DM-dig,LFQ intensity TbGPI12-dig,dig_log2_fc,dig_log10_int
Tb927.10.4310,44178000.0,29262000,-0.5942997291367309,7.564902672529205
Tb11.0400,1710900.0,547110,-1.6448526080892731,6.052695865279796
Tb927.11.1840,112180.0,19738,-2.506767770340958,4.819274062712717
Tb927.10.540,406380.0,19738,-4.36378168379993,5.328499884313434
Tb927.1.2390,27294000.0,11080000,-1.3006259590762599,7.283007075553755
Tb927.10.3940,1857100.0,3358600,0.8548084820647388,6.416282607747861
Tb927.10.5620,18653000.0,5102400,-1.8701597729093873,7.0747323519234975
Tb927.10.10980,291910.0,738740,1.3395430620069675,5.712081211932609
Tb927.10.7100,19738.0,19738,0.0,4.295303144637152
Tb927.10.4940,19738.0,19738,0.0,4.295303144637152
Tb927.10.2890,3070700.0,673990,-2.1877684799749453,6.272385875273537
Tb927.10.2770,2103600.0,154230,-3.7697050788965734,6.052661243589575
Tb927.10.13780,702210.0,19738,-5.1528548236390295,5.557475921952268
Tb927.11.11330,693520.0,1585800,1.1932014375500828,6.05677530559286
Tb927.10.2110,38853000.0,25771000,-0.5922774797334293,7.509363840161932
Tb927.11.3600,7032700.0,8855700,0.3325276731870518,6.900050169249033
Tb427.BES40.22,1709800.0,5140800,1.5881653069412691,6.534698614555115
Tb927.1.2400,14038000.0,7883600,-0.8324109253476627,7.039842253318606
Tb927.1.2670,71552.0,19738,-1.8580162806150007,4.659393211413849
Tb927.1.4100,3510500.0,1961000,-0.8400869924776359,6.437076407894133
Tb927.1.710,163650.0,19738,-3.0515658845912985,4.962340918525596
Tb927.10.10140,19738.0,19738,0.0,4.295303144637152
Tb927.10.10590,161240.0,19738,-3.0301619705102523,4.956595788822287
Tb927.10.1100,4754500.0,19738,-7.912174007256725,6.377874069511636
Tb927.10.11390,3051200.0,2002800,-0.6073583882290013,6.402605241919915
Tb927.9.6070,9737900.0,9383100,-0.05354604458664475,6.980480605828674
Tb927.10.11930,3296000.0,2142800,-0.6212190413509414,6.43447309321308
Tb927.10.12240,676800.0,4753800,2.8122797344894557,6.433817819614314
Tb927.10.12260,200620.0,19738,-3.3454177189789225,5.042098826337786
Tb927.10.12700,11667000.0,739960,-3.9788425452625145,6.792635386402136
Tb927.10.12840,14422000.0,8185700,-0.8170935479732896,7.053226385871243
Tb927.10.13360,608890.0,19738,-4.947133901492256,5.497363725552534
Tb927.10.13430,158060.0,19738,-3.0014245954897776,4.948896875740466
Tb927.11.9710,5402400.0,4457100,-0.27749513284297445,6.692824895672068
Tb927.10.14500,19738.0,19738,0.0,4.295303144637152
Tb927.10.14530,19738.0,19738,0.0,4.295303144637152
Tb927.10.14550,19738.0,19738,0.0,4.295303144637152
Tb927.10.14710,3000800.0,3988800,0.410607619830031,6.543422327039724
Tb927.10.14790,19738.0,19738,0.0,4.295303144637152
Tb927.10.14840,52399000.0,28175000,-0.8951236687544042,7.605164928546119
Tb927.10.14930,79933000.0,72455000,-0.14170598544105628,7.881920773577316
Tb927.10.14950,47962000.0,14522000,-1.7236516619521933,7.494738828059336
