Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Razor + unique peptides 1	Unique peptides 1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Identification type 1	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L 1	Ratio H/L normalized 1	Ratio H/L variability [%] 1	Ratio H/L count 1	Ratio H/L iso-count 1	Ratio H/L type 1	Sequence coverage 1 [%]	Intensity	Intensity L	Intensity H	Intensity 1	Intensity L 1	Intensity H 1	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__ENSEMBL:ENSBTAP00000038253	CON__ENSEMBL:ENSBTAP00000038253	13	2	1		1	13	2	1	13	2	1	16	3.5	1.8	63.165	606	606	1.5	1	1					0.00058241	2.45	By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	16	474040	449910	24128	474040	449910	24128			+	0	185;712;1593;2449;4312;4373;4856;5948;6855;6856;7526;8954;8955	True;False;False;False;False;False;False;True;False;False;False;False;False	191;737;1669;1670;2565;4497;4560;5056;5057;6269;7205;7206;7904;9395;9396	264;968;969;970;971;972;2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;3380;3381;3382;3383;3384;3385;3386;3387;3388;3389;6021;6022;6023;6024;6025;6119;6772;6773;6774;8396;9659;9660;9661;9662;9663;9664;9665;10631;10632;10633;10634;10635;10636;10637;12605;12606;12607;12608;12609;12610	378;1355;1356;1357;1358;1359;3039;3040;3041;3042;3043;3044;3045;3046;3047;3048;3049;3050;4696;4697;4698;4699;4700;4701;4702;4703;4704;4705;4706;4707;4708;4709;4710;4711;8358;8359;8360;8361;8362;8363;8488;9355;9356;9357;11573;13241;13242;13243;13244;13245;13246;13247;13248;13249;13250;13251;13252;14599;14600;14601;14602;14603;14604;14605;17416;17417;17418;17419;17420;17421	378;1356;3049;4707;8363;8488;9356;11573;13248;13252;14602;17416;17417	0	465
CON__O43790;CON__Q14533;CON__Q6NT21;CON__P78385	CON__O43790;CON__Q14533;CON__Q6NT21;CON__P78385	6;6;4;4	5;5;3;3	2;2;0;0	;;;	4	6	5	2	6	5	2	10.7	9.3	3.5	53.5	486	486;505;493;493	1.6	4			1			0	7.1171	By MS/MS	0.093989	0.096295	32.841	3	3	Median	0.093989	0.096295	32.841	3	3	Median	10.7	578690	520280	58407	578690	520280	58407			+	1	710;2447;4355;4781;7484;8959	True;False;True;True;True;True	735;2563;4542;4980;7861;9400	963;3371;6097;6682;10566;12615	1350;4686;8461;9232;14496;17426	1350;4686;8461;9232;14496;17426		
CON__O76013;CON__A2A5Y0;CON__Q14532;CON__O76015;CON__REFSEQ:XP_986630;CON__Q9D646;CON__O76011;CON__Q6IFU5;CON__Q8IUT8	CON__O76013;CON__A2A5Y0;CON__Q14532;CON__O76015;CON__REFSEQ:XP_986630	4;2;2;2;2;1;1;1;1	2;0;0;0;0;0;0;0;0	2;0;0;0;0;0;0;0;0	;;;;	9	4	2	2	4	2	2	8.6	5.1	5.1	52.247	467	467;416;448;456;476;392;394;431;436	1	2						0	3.9951	By MS/MS	0.14602	0.14605	147.66	2	2	Median	0.14602	0.14605	147.66	2	2	Median	8.6	429780	367000	62785	429780	367000	62785			+	2	2155;4320;4509;8495	False;False;True;True	2262;4505;4699;8919	2976;6033;6034;6035;6036;6037;6300;11995	4139;8371;8372;8373;8374;8375;8730;16555	4139;8373;8730;16555	1	97
CON__P00761	CON__P00761	3	3	3		1	3	3	3	3	3	3	16.5	16.5	16.5	24.409	231	231	3.18	2	3	6	4		2	0	13.236	By MS/MS	0.023712	0.022873	297.27	7	6	Median	0.023712	0.022873	297.27	7	6	Median	16.5	2581200000	2579600000	1622300	2581200000	2579600000	1622300			+	3	4611;5183;7909	True;True;True	4804;5397;8302	6443;7211;7212;7213;7214;11157;11158;11159;11160;11161;11162;11163;11164;11165;11166;11167;11168	8927;9946;9947;9948;9949;15332;15333;15334;15335;15336;15337;15338;15339;15340;15341;15342;15343;15344;15345;15346;15347;15348;15349;15350;15351;15352	8927;9948;15340		
CON__P02533;CON__P08727;CON__P19012;CON__A2A4G1;CON__Q61782;CON__P05784;CON__P35900;CON__Q9D312;CON__Q99456;CON__Q8N1A0;CON__Q92764;CON__A2AB72;CON__Q497I4;CON__Q7Z3Y9;CON__O76014	CON__P02533	25;8;8;8;3;2;2;2;2;1;1;1;1;1;1	11;2;0;0;1;0;0;0;0;0;0;0;0;0;0	2;0;0;0;1;0;0;0;0;0;0;0;0;0;0		15	25	11	2	25	11	2	49.6	26.7	7.8	51.621	472	472;400;456;456;93;423;424;431;494;295;425;453;455;468;471	2.82	11	7	3	7	2	4	0	102.4	By MS/MS	0.06719	0.06503	124.35	11	10	Median	0.06719	0.06503	124.35	11	10	Median	49.6	33900000	33681000	219190	33900000	33681000	219190			+	4	470;663;751;1031;1595;2183;3169;3194;4019;4063;4320;4406;4408;4532;4778;5579;5580;5746;6433;6586;7364;7489;7650;8287;8671	False;True;False;True;False;True;True;False;False;False;False;False;False;False;True;True;True;True;False;True;True;True;False;False;False	484;687;776;1070;1673;2291;3315;3342;4193;4238;4505;4594;4596;4723;4977;5868;5869;6056;6768;6925;7735;7866;8036;8697;9105;9106	644;645;646;647;648;649;907;908;909;910;911;912;1020;1021;1022;1023;1024;1025;1428;1429;1430;2233;2234;2235;3008;3009;3010;3011;3012;3013;4400;4401;4431;4432;4433;4434;5620;5621;5681;5682;5683;6033;6034;6035;6036;6037;6158;6159;6163;6333;6334;6335;6336;6671;6672;6673;6674;7798;7799;8043;8044;8045;8046;9041;9238;10392;10573;10574;10575;10576;10577;10828;10829;11692;11693;11694;11695;11696;12235;12236;12237;12238;12239;12240;12241;12242;12243;12244;12245;12246;12247;12248;12249;12250	912;913;914;915;916;917;918;1275;1276;1277;1278;1279;1280;1281;1428;1429;1430;1431;1432;1433;1434;1435;1988;1989;1990;3062;3063;3064;4181;4182;4183;4184;4185;4186;6121;6122;6168;6169;6170;6171;7884;7885;7953;7954;7955;8371;8372;8373;8374;8375;8539;8540;8544;8771;8772;8773;8774;8775;9220;9221;9222;9223;9224;10763;10764;11085;11086;11087;11088;12431;12694;14267;14505;14506;14507;14508;14509;14873;14874;16116;16117;16118;16119;16120;16121;16896;16897;16898;16899;16900;16901;16902;16903;16904;16905;16906;16907;16908;16909;16910;16911;16912;16913;16914	912;1278;1429;1989;3064;4185;6121;6168;7885;7955;8373;8540;8544;8771;9223;10763;10764;11085;12431;12694;14267;14506;14874;16121;16914	2;3;4	119;212;272
CON__P02538;CON__O95678;CON__Q8VED5;CON__P05787;CON__P07744;CON__H-INV:HIT000016045;CON__H-INV:HIT000292931;CON__Q3KNV1;CON__P08729;CON__Q9H552	CON__P02538	37;13;10;8;6;4;4;3;3;3	26;5;3;2;1;0;2;1;1;0	2;0;0;0;0;0;0;0;0;0		10	37	26	2	37	26	2	52.1	41.5	3.5	60.044	564	564;551;531;483;525;99;443;469;469;499	2.82	22	13	6	8	14	3	0	138.72	By MS/MS	0.021453	0.020671	151.08	16	16	Median	0.021453	0.020671	151.08	16	16	Median	52.1	48510000	47870000	639940	48510000	47870000	639940			+	5	177;188;389;390;712;775;1525;1526;2273;2304;2305;2447;3065;3179;3210;4047;4257;4373;4780;5109;5783;5790;5791;5798;5947;6155;6205;6401;6679;6891;7030;7263;7264;8883;8954;8955;8962	True;True;True;True;False;True;True;True;True;False;False;True;True;True;True;True;False;False;False;True;True;False;False;False;True;True;True;True;True;True;True;True;True;True;False;False;True	183;194;399;400;737;800;1596;1597;1598;2383;2415;2416;2563;3205;3325;3358;4222;4439;4560;4979;5321;6093;6100;6101;6108;6268;6485;6535;6736;7021;7241;7386;7629;7630;9322;9395;9396;9403	250;251;252;253;269;270;271;527;528;529;530;531;532;968;969;970;971;972;1053;1054;2086;2087;2088;2089;2090;2091;2092;2093;2094;3148;3184;3185;3186;3187;3188;3371;4244;4411;4453;4454;4455;5656;5657;5658;5951;5952;6119;6678;6679;6680;6681;7118;8101;8102;8115;8116;8117;8118;8119;8120;8121;8122;8123;8124;8125;8126;8127;8142;8143;8144;8145;8146;8147;8148;8395;8670;8671;8739;8740;8741;9005;9358;9359;9360;9361;9362;9707;9903;9904;9905;10247;10248;10249;10250;10251;10252;10253;10254;12517;12518;12605;12606;12607;12608;12609;12610;12626;12627;12628	361;362;363;364;365;384;385;386;387;739;740;741;742;743;744;745;746;1355;1356;1357;1358;1359;1470;1471;2874;2875;2876;2877;2878;2879;2880;2881;2882;2883;4372;4421;4422;4423;4424;4425;4686;5913;6134;6195;6196;6197;7925;7926;7927;8287;8288;8488;9228;9229;9230;9231;9824;11171;11172;11186;11187;11188;11189;11190;11191;11192;11193;11194;11195;11196;11197;11198;11199;11222;11223;11224;11225;11226;11227;11228;11229;11230;11231;11232;11233;11234;11235;11572;11947;11948;12027;12028;12029;12381;12868;12869;12870;12871;12872;13308;13579;13580;13581;14070;14071;14072;14073;14074;14075;14076;14077;14078;14079;17291;17292;17416;17417;17418;17419;17420;17421;17438;17439;17440;17441;17442	363;385;743;746;1356;1470;2880;2883;4372;4421;4425;4686;5913;6134;6197;7927;8288;8488;9228;9824;11172;11188;11197;11227;11572;11947;12027;12381;12871;13308;13581;14075;14079;17291;17416;17417;17441	5;6;7	242;279;452
CON__P02769;CON__P02768-1	CON__P02769	13;1	13;1	13;1		2	13	13	13	13	13	13	25	25	25	69.293	607	607;609	2.77	8	11	2	3	1	5	0	35.687	By MS/MS	0.018634	0.017715	99.366	3	3	Median	0.018634	0.017715	99.366	3	3	Median	25	3714600	3700300	14320	3714600	3700300	14320			+	6	201;1037;2436;3537;3553;4308;4613;5317;5351;6273;6831;7788;9116	True;True;True;True;True;True;True;True;True;True;True;True;True	207;1076;2552;3690;3706;4493;4806;5539;5574;6605;7181;8178;9574	284;285;1441;1442;3356;3357;4901;4902;4903;4904;4905;4923;6015;6016;6445;6446;6447;7385;7386;7387;7425;7426;7427;7428;8836;9625;9626;9627;11008;12861	403;404;2005;2006;4657;4658;6826;6827;6828;6829;6830;6831;6859;8352;8353;8929;8930;8931;10182;10183;10184;10231;10232;10233;10234;12150;13200;13201;13202;15112;17769	403;2006;4658;6831;6859;8353;8931;10183;10233;12150;13201;15112;17769	8	571
CON__P04259	CON__P04259	35	1	1		1	35	1	1	35	1	1	48.8	3	3	59.998	564	564	3	1		1		1		0	2.7768	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	48.8	0	0	0	0	0	0			+	7	177;188;712;775;805;1525;1526;2273;2304;2305;2447;3179;3210;4047;4257;4373;4780;5109;5783;5790;5791;5798;5947;6155;6205;6401;6678;6891;7030;7263;7264;8883;8954;8955;8962	False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	183;194;737;800;830;1596;1597;1598;2383;2415;2416;2563;3325;3358;4222;4439;4560;4979;5321;6093;6100;6101;6108;6268;6485;6535;6736;7020;7241;7386;7629;7630;9322;9395;9396;9403	250;251;252;253;269;270;271;968;969;970;971;972;1053;1054;1092;1093;1094;2086;2087;2088;2089;2090;2091;2092;2093;2094;3148;3184;3185;3186;3187;3188;3371;4411;4453;4454;4455;5656;5657;5658;5951;5952;6119;6678;6679;6680;6681;7118;8101;8102;8115;8116;8117;8118;8119;8120;8121;8122;8123;8124;8125;8126;8127;8142;8143;8144;8145;8146;8147;8148;8395;8670;8671;8739;8740;8741;9005;9353;9354;9355;9356;9357;9707;9903;9904;9905;10247;10248;10249;10250;10251;10252;10253;10254;12517;12518;12605;12606;12607;12608;12609;12610;12626;12627;12628	361;362;363;364;365;384;385;386;387;1355;1356;1357;1358;1359;1470;1471;1517;1518;1519;2874;2875;2876;2877;2878;2879;2880;2881;2882;2883;4372;4421;4422;4423;4424;4425;4686;6134;6195;6196;6197;7925;7926;7927;8287;8288;8488;9228;9229;9230;9231;9824;11171;11172;11186;11187;11188;11189;11190;11191;11192;11193;11194;11195;11196;11197;11198;11199;11222;11223;11224;11225;11226;11227;11228;11229;11230;11231;11232;11233;11234;11235;11572;11947;11948;12027;12028;12029;12381;12861;12862;12863;12864;12865;12866;12867;13308;13579;13580;13581;14070;14071;14072;14073;14074;14075;14076;14077;14078;14079;17291;17292;17416;17417;17418;17419;17420;17421;17438;17439;17440;17441;17442	363;385;1356;1470;1519;2880;2883;4372;4421;4425;4686;6134;6197;7927;8288;8488;9228;9824;11172;11188;11197;11227;11572;11947;12027;12381;12865;13308;13581;14075;14079;17291;17416;17417;17441	5;6	279;452
CON__P04264	CON__P04264	42	37	27		1	42	37	27	42	37	27	51.1	48.6	38.5	66.017	644	644	3.03	43	45	27	41	16	21	0	323.31	By MS/MS	0.013046	0.013324	171.81	51	51	Median	0.013046	0.013324	171.81	51	51	Median	51.1	528000000	526480000	1526100	528000000	526480000	1526100			+	8	186;187;1528;1593;2449;2555;2632;2870;3209;3710;3711;4280;4372;4477;4856;4928;4929;5110;5111;5784;5790;5791;5842;5918;6189;6416;6681;6682;6775;6782;6783;6807;6855;6856;6883;7526;7573;7574;8864;8954;8955;8960	True;True;True;True;False;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True	192;193;1600;1601;1669;1670;2565;2676;2754;2997;3357;3868;3869;4463;4559;4666;5056;5057;5137;5138;5322;5323;6094;6100;6101;6158;6159;6160;6238;6519;6751;7023;7024;7124;7131;7132;7157;7205;7206;7233;7904;7957;7958;9302;9395;9396;9401	265;266;267;268;2096;2097;2098;2099;2100;2101;2102;2103;2104;2105;2106;2107;2108;2109;2110;2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;3380;3381;3382;3383;3384;3385;3386;3387;3388;3389;3526;3527;3528;3633;3958;3959;3960;3961;3962;4452;5145;5146;5147;5148;5149;5150;5151;5152;5153;5980;5981;6116;6117;6118;6251;6252;6253;6254;6772;6773;6774;6872;6873;6874;6875;6876;7119;7120;7121;7122;7123;7124;7125;8103;8104;8105;8106;8115;8116;8117;8118;8119;8120;8121;8122;8123;8124;8125;8126;8127;8219;8220;8221;8222;8223;8224;8225;8226;8227;8228;8229;8230;8231;8232;8233;8234;8235;8236;8237;8238;8239;8240;8241;8242;8243;8244;8353;8710;8711;8712;8713;8714;8715;8716;8717;9021;9364;9365;9366;9367;9368;9369;9370;9507;9508;9509;9510;9518;9519;9520;9521;9522;9523;9524;9525;9526;9527;9528;9529;9530;9580;9581;9582;9583;9584;9585;9586;9587;9588;9589;9590;9591;9592;9659;9660;9661;9662;9663;9664;9665;9699;10631;10632;10633;10634;10635;10636;10637;10707;10708;10709;10710;10711;10712;10713;10714;10715;10716;10717;10718;10719;10720;12491;12492;12493;12494;12495;12605;12606;12607;12608;12609;12610;12616;12617;12618;12619	379;380;381;382;383;2885;2886;2887;2888;2889;2890;2891;2892;2893;2894;2895;2896;2897;2898;2899;2900;3039;3040;3041;3042;3043;3044;3045;3046;3047;3048;3049;3050;4696;4697;4698;4699;4700;4701;4702;4703;4704;4705;4706;4707;4708;4709;4710;4711;4906;4907;4908;5055;5531;5532;5533;5534;5535;5536;6194;7179;7180;7181;7182;7183;7184;7185;7186;7187;7188;7189;8316;8317;8485;8486;8487;8668;8669;8670;8671;9355;9356;9357;9498;9499;9500;9501;9502;9503;9825;9826;9827;9828;9829;9830;9831;11173;11174;11175;11176;11186;11187;11188;11189;11190;11191;11192;11193;11194;11195;11196;11197;11198;11199;11356;11357;11358;11359;11360;11361;11362;11363;11364;11365;11366;11367;11368;11369;11370;11371;11372;11373;11374;11375;11376;11377;11378;11379;11380;11381;11519;11996;11997;11998;11999;12000;12001;12002;12003;12408;12874;12875;12876;12877;12878;12879;12880;13055;13056;13057;13058;13069;13070;13071;13072;13073;13074;13075;13076;13077;13078;13079;13080;13081;13082;13083;13084;13140;13141;13142;13143;13144;13145;13146;13147;13148;13149;13150;13151;13152;13153;13154;13155;13156;13157;13158;13159;13160;13241;13242;13243;13244;13245;13246;13247;13248;13249;13250;13251;13252;13297;13298;14599;14600;14601;14602;14603;14604;14605;14702;14703;14704;14705;14706;14707;14708;14709;14710;14711;14712;14713;14714;14715;17256;17257;17258;17259;17260;17261;17262;17416;17417;17418;17419;17420;17421;17427;17428;17429;17430;17431	380;383;2889;3049;4707;4907;5055;5536;6194;7183;7189;8316;8485;8671;9356;9499;9503;9826;9831;11176;11188;11197;11380;11519;11997;12408;12876;12880;13057;13078;13084;13144;13248;13252;13298;14602;14703;14715;17260;17416;17417;17429	0;9;10;11	259;262;296;469
CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8	CON__P08779	32;12;12	32;12;12	18;5;5		3	32	32	18	32	32	18	63	63	40	51.267	473	473;469;474	3.04	31	20	10	19	17	11	0	198.61	By MS/MS	0.019618	0.019402	157.93	46	46	Median	0.019618	0.019402	157.93	46	46	Median	63	190980000	189890000	1090900	190980000	189890000	1090900			+	9	470;662;751;1033;1423;1595;2085;2182;2197;3166;3194;3820;3909;4019;4063;4269;4320;4406;4408;4532;4777;5745;6366;6433;6610;7363;7488;7650;8287;8358;8671;8972	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	484;686;776;1072;1489;1490;1673;2186;2290;2306;3312;3342;3980;4075;4193;4238;4451;4452;4505;4594;4596;4723;4976;6055;6700;6768;6950;7734;7865;8036;8697;8769;9105;9106;9414	644;645;646;647;648;649;902;903;904;905;906;1020;1021;1022;1023;1024;1025;1432;1433;1434;1435;1436;1437;1963;1964;1965;2233;2234;2235;2887;2888;3004;3005;3006;3007;3048;3049;3050;3051;4395;4396;4397;4431;4432;4433;4434;5305;5306;5307;5308;5452;5453;5620;5621;5681;5682;5683;5966;5967;6033;6034;6035;6036;6037;6158;6159;6163;6333;6334;6335;6336;6668;6669;6670;8042;8960;9041;9269;10390;10391;10570;10571;10572;10828;10829;11692;11693;11694;11695;11696;11798;12235;12236;12237;12238;12239;12240;12241;12242;12243;12244;12245;12246;12247;12248;12249;12250;12643	912;913;914;915;916;917;918;1269;1270;1271;1272;1273;1274;1428;1429;1430;1431;1432;1433;1434;1435;1993;1994;1995;1996;1997;1998;1999;2712;2713;2714;3062;3063;3064;4015;4016;4177;4178;4179;4180;4234;4235;4236;4237;6114;6115;6116;6168;6169;6170;6171;7417;7418;7419;7420;7643;7644;7884;7885;7953;7954;7955;8302;8303;8371;8372;8373;8374;8375;8539;8540;8544;8771;8772;8773;8774;8775;9215;9216;9217;9218;9219;11084;12316;12431;12739;14265;14266;14501;14502;14503;14504;14873;14874;16116;16117;16118;16119;16120;16121;16273;16896;16897;16898;16899;16900;16901;16902;16903;16904;16905;16906;16907;16908;16909;16910;16911;16912;16913;16914;17460	912;1274;1429;1997;2713;3064;4016;4177;4235;6116;6168;7419;7643;7885;7955;8303;8373;8540;8544;8771;9219;11084;12316;12431;12739;14266;14501;14874;16121;16273;16914;17460	4;12;13;14;15;16	121;259;274;289;296;353
