[Input ID],Gene_desc,Score,Ratio H/L normalized,Intensity,logint,logRatio,[source_id],[Product Description],[# TM Domains],[SignalP Peptide]2
Tb927.11.9400,"gene_product=hypothetical protein, conserved",4.7487,21.27,1061800,13.87547614,4.410748128,Tb927.11.9400:mRNA,"hypothetical protein, conserved",0,0
Tb927.5.1210,"gene_product=short-chain dehydrogenase, putative",102.88,13.601,47788000,17.68228512,3.765640823,Tb927.5.1210:mRNA,"short-chain dehydrogenase, putative",2,1
Tb927.11.12080,gene_product=N-acetyl-D-glucosaminylphosphatidylinositol de-N-acetylase,29.804,13.297,3156700,14.96503774,3.733028884,Tb927.11.12080.1:mRNA,N-acetyl-D-glucosaminylphosphatidylinositol de-N-acetylase,0,0
Tb927.11.6210,gene_product=Lanosterol 14-alpha demethylase,4.3205,12.725,4638000,15.3497938,3.669593751,Tb927.11.6210:mRNA,Lanosterol 14-alpha demethylase,0,1
Tb927.10.4040,gene_product=3-keto-dihydrosphingosine reductase,6.321,9.7405,1800500,14.40357496,3.283995831,Tb927.10.4040:mRNA,3-keto-dihydrosphingosine reductase,1,1
Tb927.9.9630,"gene_product=TPR repeat/Tetratricopeptide repeat, putative",24.041,9.2534,7914000,15.8841439,3.209983556,Tb927.9.9630:mRNA,"TPR repeat/Tetratricopeptide repeat, putative",3,0
Tb927.9.9710,"gene_product=Histidine phosphatase superfamily (branch 1), putative",8.4013,7.6671,1294200,14.0734033,2.938680997,Tb927.9.9710:mRNA,"Histidine phosphatase superfamily (branch 1), putative",1,1
Tb927.6.4210,"gene_product=aldehyde dehydrogenase, putative",24.553,6.947,2972300,14.90484662,2.796390097,Tb927.6.4210:mRNA,"aldehyde dehydrogenase, putative",0,1
Tb11.02.5420b,"gene_product=NADPH-cytochrome p450 reductase, putative",4.1572,6.144,730470,13.50144344,2.619178216,Tb11.02.5420b.1,"NADPH-cytochrome p450 reductase, putative",1,1
Tb927.10.7100,gene_product=delta-4 fatty acid desaturase,3.0426,5.8973,1287800,14.06844589,2.560054587,Tb927.10.7100:mRNA,delta-4 fatty acid desaturase,3,0
Tb927.11.12500,"gene_product=hypothetical protein, conserved",8.0649,4.3203,408540,12.92034511,2.111131496,Tb927.11.12500:mRNA,"hypothetical protein, conserved",2,1
Tb927.9.2050,"gene_product=membrane protein YIP1, putative",7.4043,4.2642,1146900,13.95257321,2.092275105,Tb927.9.2050:mRNA,"membrane protein YIP1, putative",4,0
Tb927.10.14510,"gene_product=root hair defective 3 GTP-binding protein (RHD3), putative",30.982,4.0855,1060800,13.8745339,2.030512652,Tb927.10.14510:mRNA,"root hair defective 3 GTP-binding protein (RHD3), putative",1,0
