Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Razor + unique peptides 1	Razor + unique peptides 2	Unique peptides 1	Unique peptides 2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 11	Q-value	Score	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Intensity	Intensity 1	Intensity 2	iBAQ	iBAQ 1	iBAQ 2	LFQ intensity 1	LFQ intensity 2	MS/MS count 1	MS/MS count 2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P00761	CON__P00761	4	4	4		1	4	4	4	4	1	4	1	4	1	22.9	22.9	22.9	24.409	231	231	3.5	15	5	0	117.85	22.9	4.3	13770000	8190500	5579900	1251900	744590	507270	6679900	0	16	5	21			+	0	60;75;114;115	True;True;True;True	60;75;115;116	113;143;144;145;146;147;148;149;150;232;233;234;235;236;237;238;239;240;241;242	123;168;169;170;171;172;173;174;175;268;269;270;271;272;273;274;275;276;277;278;279;280	123;169;279;280		
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253;CON__Q8BGZ7;CON__P50446;CON__Q6IFZ6;CON__Q7Z794;CON__Q922U2;CON__Q5XQN5	CON__P04264	15;3;1;1;1;1;1;1	15;3;1;1;1;1;1;1	14;2;1;1;0;0;1;1		8	15	15	14	10	13	10	13	9	12	26.4	26.4	24.5	66.017	644	644;606;551;553;572;578;580;601	8.45	13	38	0	270.86	16.9	23.1	203670000	36873000	166800000	6570100	1189500	5380600	88679000	115210000	14	34	48			+	1	31;37;39;41;48;49;98;99;101;102;107;108;109;116;126	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	31;37;39;41;48;49;98;99;101;102;108;109;110;117;127	58;59;60;72;74;75;76;77;78;79;80;82;83;95;96;97;98;181;182;183;184;185;186;190;191;192;193;194;195;196;197;198;199;219;220;221;222;223;224;225;243;261;262;263;264;265;266;267;268;269;270	60;61;62;63;80;82;83;84;85;86;87;88;90;91;104;105;106;107;211;212;213;214;215;216;217;221;222;223;224;225;226;227;228;229;230;231;232;233;254;255;256;257;258;259;260;261;281;300;301;302;303;304;305;306;307;308;309	61;80;88;90;104;107;211;217;221;226;254;260;261;281;307		
CON__P13645;CON__P02535-1;CON__A2A4G1;CON__P02533;CON__P08779;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Y9;CON__Q9Z2K1;CON__Q3ZAW8;CON__Q7Z3Y7	CON__P13645;CON__P02535-1	6;3;2;2;2;1;1;1;1;1;1;1	5;3;1;1;1;1;1;1;1;1;1;1	5;3;1;1;1;1;1;1;1;1;1;1	;	12	6	5	5	3	5	2	5	2	5	10.1	8.9	8.9	59.51	593	593;570;456;472;473;450;459;464;468;469;474;486	9	2	8	0	35.851	4.2	8.9	5838800	2374700	3464100	224570	91333	133240	2886600	3304200	2	7	9			+	2	9;66;68;100;121;123	True;False;True;True;True;True	9;66;68;100;122;124	21;122;124;125;187;188;189;253;254;256;257	23;132;134;135;218;219;220;292;293;295;296	23;132;135;219;293;295	0	150
CON__P35527;CON__P08727;CON__P19001;CON__P05784;CON__Q04695;CON__Q9QWL7;CON__P08730-1;CON__P19012;CON__Q99456	CON__P35527	12;1;1;1;1;1;1;1;1	12;1;1;1;1;1;1;1;1	11;0;0;0;0;0;0;0;0		9	12	12	11	4	9	4	9	3	9	19.9	19.9	18.8	62.129	623	623;400;403;423;432;433;437;456;494	9.33	6	30	0	238.8	5.9	15.4	126740000	6334000	120410000	4874600	243610	4631000	0	113720000	6	32	38			+	3	33;42;43;44;58;62;66;79;97;105;106;122	True;True;True;True;True;True;True;True;True;True;True;True	33;42;43;44;58;62;66;79;97;105;106;107;123	63;64;65;66;84;85;86;87;88;89;90;111;115;122;155;156;178;179;180;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;255	66;67;68;69;70;71;92;93;94;95;96;97;98;99;121;125;132;183;184;207;208;209;210;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;294	67;93;98;99;121;125;132;184;208;239;245;294	1;2	157;234
CON__Q9R0H5;CON__Q6NXH9;CON__P35908;CON__Q14CN4-1;CON__Q6IME9;CON__Q3SY84;CON__Q7RTS7;CON__Q32MB2;CON__P12035;CON__Q01546	CON__Q9R0H5;CON__Q6NXH9;CON__P35908;CON__Q14CN4-1;CON__Q6IME9;CON__Q3SY84;CON__Q7RTS7;CON__Q32MB2;CON__P12035;CON__Q01546	2;2;2;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	;;;;;;;;;	10	2	1	1	1	2	0	1	0	1	3.8	1.5	1.5	57.382	524	524;539;645;511;520;523;529;540;629;638	11		1	0	6.2467	2.3	3.8	0	0	0	0	0	0	0	0	0	1	1			+	4	13;31	True;False	13;31	33;58;59;60	35;60;61;62;63	35;61		
CON__Q86YZ3	CON__Q86YZ3	10	10	10		1	10	10	10	6	5	6	5	6	5	12.9	12.9	12.9	282.39	2850	2850	5.17	7	5	0	81.33	6.8	8.8	31261000	13151000	18110000	367780	154720	213060	15100000	0	6	4	10			+	5	50;51;53;54;86;88;89;103;104;127	True;True;True;True;True;True;True;True;True;True	50;51;53;54;86;88;89;103;104;128	99;100;103;104;105;166;168;169;200;201;202;271	108;109;112;113;114;194;196;197;234;235;236;310	108;109;112;114;194;196;197;234;236;310		
Tb09.v4.0174:pseudogenic_transcript-p1	Tb09.v4.0174:pseudogenic_transcript-p1	1	1	1	Tb09.v4.0174:pseudogenic_transcript-p1 | transcript=Tb09.v4.0174:pseudogenic_transcript | gene=Tb09.v4.0174 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG, pseudogene), putative | transcript_product=variant su	1	1	1	1	1	0	1	0	1	0	5.7	5.7	5.7	56.212	524	524	1	1		0	5.7714	5.7	0	370020	370020	0	14232	14232	0	424870	0	1	0	1				6	35	True	35	70	78	78		
Tb927.10.5620:mRNA-p1;Tb11.v5.0531.1-p1	Tb927.10.5620:mRNA-p1;Tb11.v5.0531.1-p1	4;4	4;4	4;4	Tb927.10.5620:mRNA-p1 | transcript=Tb927.10.5620:mRNA | gene=Tb927.10.5620 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=fructose-bisphosphate aldolase, glycosomal | transcript_product=fructose-bisphosphate aldolase, glycosomal | location=Tb9	2	4	4	4	2	3	2	3	2	3	11.3	11.3	11.3	41.071	372	372;372	7	2	3	0	26.93	5.4	8.1	3604600	1457800	2146800	171650	69418	102230	0	2146800	2	2	4				7	17;29;32;46	True;True;True;True	17;29;32;46	37;55;61;62;93	39;57;64;65;102	39;57;65;102		
Tb927.8.5010:mRNA-p1;Tb927.8.5000:mRNA-p1;Tb927.8.4990:mRNA-p1;Tb927.8.4980:mRNA-p1;Tb927.8.4970:mRNA-p1;Tb11.v5.0538.1-p1	Tb927.8.5010:mRNA-p1;Tb927.8.5000:mRNA-p1;Tb927.8.4990:mRNA-p1;Tb927.8.4980:mRNA-p1;Tb927.8.4970:mRNA-p1;Tb11.v5.0538.1-p1	3;3;3;3;3;3	3;3;3;3;3;3	3;3;3;3;3;3	Tb927.8.5010:mRNA-p1 | transcript=Tb927.8.5010:mRNA | gene=Tb927.8.5010 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Paraflagellar rod protein 2-5 | transcript_product=Paraflagellar rod protein 2-5 | location=Tb927_08_v5.1:1483434-1485236(+)	6	3	3	3	2	1	2	1	2	1	4.5	4.5	4.5	69.596	600	600;600;600;600;600;600	4.33	2	1	0	17.994	3	1.5	1141700	943700	198040	39370	32541	6829	1083600	0	2	1	3				8	14;59;95	True;True;True	14;59;95	34;112;176	36;122;205	36;122;205		
Tb927.10.10980:mRNA-p1;Tb927.10.10970:mRNA-p1;Tb927.10.10960:mRNA-p1;Tb927.10.10950:mRNA-p1;Tb927.10.10940:mRNA-p1;Tb927.10.10930:mRNA-p1;Tb927.10.10920:mRNA-p1;Tb927.10.10910:mRNA-p1;Tb927.10.10900:mRNA-p1;Tb927.10.10890:mRNA-p1;Tb11.v5.0543.1-p1	Tb927.10.10980:mRNA-p1;Tb927.10.10970:mRNA-p1;Tb927.10.10960:mRNA-p1;Tb927.10.10950:mRNA-p1;Tb927.10.10940:mRNA-p1;Tb927.10.10930:mRNA-p1;Tb927.10.10920:mRNA-p1;Tb927.10.10910:mRNA-p1;Tb927.10.10900:mRNA-p1;Tb927.10.10890:mRNA-p1;Tb11.v5.0543.1-p1	7;7;7;7;7;7;7;7;7;7;7	7;7;7;7;7;7;7;7;7;7;7	7;7;7;7;7;7;7;7;7;7;7	Tb927.10.10980:mRNA-p1 | transcript=Tb927.10.10980:mRNA | gene=Tb927.10.10980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=Tb927_10_v5.1:2680017-	11	7	7	7	6	4	6	4	6	4	10.7	10.7	10.7	80.793	704	704;704;704;704;704;704;704;704;704;704;704	5	6	4	0	73.618	8.9	5.4	6148900	4379000	1769900	186330	132700	53633	4268900	2529000	7	4	11				9	3;27;28;30;70;93;117	True;True;True;True;True;True;True	3;27;28;30;70;93;118	4;52;53;54;56;57;129;130;174;244	4;5;54;55;56;58;59;140;141;203;282	5;54;56;59;141;203;282		
