[Input ID],Gene_desc,unique,logRatio_1,logRatio_2,logRatio_3,Score,logScore,logInt,[SignalP Peptide],[# TM Domains],Gene_id_all,Gene_desc_all,logratio_mean,pvalues,statistics,log_pvalues,padj
Tb927.3.2610,GPI inositol deacylase 2,11,4.032982416699429,4.10156603968603,3.6974402355911065,47.272,1.6746039769716101,7.514095957729699,0,10.0,Tb927.3.2610,GPI inositol deacylase 2,3.9439962306588554,5.9864620143155094e-06,31.58793406429324,5.222829768864882,0.003364391652045316
Tb927.5.1640,"hypothetical protein, conserved",13,1.6641187073387997,1.5547361832224582,1.2124448290517393,54.324,1.7349917405428772,6.552643885207573,0,0.0,Tb927.5.1640,"hypothetical protein, conserved",1.477099906537666,0.00040836068847408127,10.857617990826752,3.388956072658891,0.22949870692243368
Tb11.v5.0831,"kinesin motor domain containing protein, putative",4,1.1823109180256963,1.1496495818949755,1.3765682254257077,45.833,1.6611782849298105,6.835728610219096,0,0.0,Tb11.v5.0831;Tb927.3.3400,"kinesin motor domain containing protein, putative; kinesin, putative",1.2361762417821265,6.326513988374952e-05,17.4536165695985,4.198835527367012,0.03555500861466723
Tb927.11.12820,ribonucleoside-diphosphate reductase small chain,4,0.7328335747409284,1.2471376115335855,1.453701937408949,20.165,1.3045982263436373,6.042260406689452,0,1.0,Tb927.11.12820;Tb927.11.12810;Tb927.11.12800;Tb927.11.12790;Tb927.11.12780;Tb11.v5.0288,"ribonucleoside-diphosphate reductase small chain; ribonucleoside-diphosphate reductase small chain; ribonucleoside-diphosphate reductase small chain; ribonucleoside-diphosphate reductase small chain; ribonucleoside-diphosphate reductase small chain, putative; ribonucleoside-diphosphate reductase small chain, putative",1.1445577078944877,0.005924068237691946,5.340306532710564,2.2273799476048484,1.0
Tb927.10.9980,"hypothetical protein, conserved",14,0.9667995846272036,0.9676113104586879,0.9824369177670543,123.06,2.09011691075201,7.427047698387574,0,0.0,Tb927.10.9980,"hypothetical protein, conserved",0.9722826042843152,4.479531109672625e-09,191.29776452564835,8.348767442952559,2.5174964836360155e-06
Tb927.5.4500,"ras-like small GTPase, putative",7,0.7367347444911975,1.257614130049541,0.8099905839752052,43.107,1.6345477995001125,6.559643336466725,1,0.0,Tb927.5.4500;Tb05.5K5.150,"ras-like small GTPase, putative; small GTP-binding protein, putative",0.9347798195053145,0.0045584062745736564,5.742014326361379,2.3411869703047476,1.0
Tb927.3.5040,"hypothetical protein, conserved",23,0.853756175843635,0.8622728411865622,0.9392265777282087,62.672,1.7970735542037906,7.577319426553794,0,0.0,Tb927.3.5040,"hypothetical protein, conserved",0.8850851982528019,5.304167945812683e-06,32.56132195457815,5.275382733324064,0.002980942385546728
Tb927.10.1140,epsilon tubulin,5,1.1335635257411059,0.6818540177410607,0.5653047080272501,40.102,1.6031660326526997,6.966686020283003,0,0.0,Tb927.10.1140;Tb11.0530,epsilon tubulin; epsilon tubulin,0.7935740838364721,0.01018808265836772,4.579398974597819,1.9919075401584265,1.0
Tb927.10.13800,"hypothetical protein, conserved",13,0.7489763892462132,0.6870606883398924,0.889629290673427,50.08,1.6996643202023733,7.46250281495166,0,0.0,Tb927.10.13800,"hypothetical protein, conserved",0.7752221227531776,0.00020603508096980226,12.935265686635459,3.6860588273275336,0.11579171550502887
Tb927.4.2890,"hypothetical protein, conserved",16,0.8503193781873066,0.5729866530625383,0.8638591792878826,66.418,1.822285793845304,7.019490162997508,0,0.0,Tb927.4.2890,"hypothetical protein, conserved",0.7623884035125759,0.0012967772853263457,8.043641370682765,2.8871346053031437,0.7287888343534062
Tb927.10.13250,"hypothetical protein, conserved",23,0.7615405950224731,0.690193577824855,0.8127035765602842,89.50399999999999,1.951842444691433,6.996148148662974,0,0.0,Tb927.10.13250,"hypothetical protein, conserved",0.7548125831358709,2.90105311353919e-05,21.24722956399359,4.53744431990267,0.016303918498090247
Tb927.3.4070,"Nodulin-like, putative",10,0.8278190246173196,0.7739963251111731,0.6071053837584942,60.86,1.7843319480221482,7.718634531104879,0,12.0,Tb927.3.4070;Tb927.3.4080;Tb927.3.4100;Tb927.3.4090;Tb927.3.4110,"Nodulin-like, putative; Nodulin-like, putative; Nodulin-like, putative; Nodulin-like, putative; Nodulin-like, putative",0.7363069111623289,0.0003771338435740363,11.081791412301191,3.4235044927390694,0.2119492200886084
Tb927.8.1500,"hypothetical protein, conserved",5,0.8941386881996707,0.7351755422538105,0.5138949467649272,33.921,1.53046864688893,6.612571954065176,0,0.0,Tb927.8.1500,"hypothetical protein, conserved",0.7144030590728029,0.002924201212617547,6.479423433512645,2.533992747130406,1.0
Tb927.9.1350,"hypothetical protein, conserved",29,0.6844597018913462,0.7408843975176589,0.6912661471382847,166.61,2.221701064384597,7.975808493225403,0,0.0,Tb927.9.1350,"hypothetical protein, conserved",0.7055367488490966,2.4111667235413383e-06,39.67543886849849,5.61777275867663,0.001355075698630232
Tb927.6.4440,RNA-binding protein 42 (RNA-binding motif protein 42),5,0.7546310002442421,0.5273706571404089,0.7462267611769378,74.7,1.8733206018153987,7.105680462945809,0,0.0,Tb927.6.4440,RNA-binding protein 42 (RNA-binding motif protein 42),0.6760761395205295,0.000812856783448631,9.087983999085028,3.089985965644524,0.4568255122981306
Tb927.10.9330,"hypothetical protein, conserved",14,0.8572644445006623,0.5352567109038382,0.6072948008192126,38.693000000000005,1.587632403356187,6.88978895964442,0,0.0,Tb927.10.9330,"hypothetical protein, conserved",0.6666053187412376,0.0024007654893294663,6.831972848266154,2.6196502604612038,1.0
Tb927.10.14700,"hypothetical protein, conserved",3,0.8320393326519738,0.5465611356852493,0.5276709162640892,5.2206,0.7177204190395452,6.474493075006849,0,0.0,Tb927.10.14700,"hypothetical protein, conserved",0.6354237948671041,0.002967658241299687,6.453696143579563,2.5275861143309113,1.0
Tb927.11.2330,"molybdopterin synthase sulphurylase protein, putative",13,0.5929234083590513,0.6437638543373423,0.6591938949069482,102.91,2.0124575782007734,7.488790358364855,0,1.0,Tb927.11.2330,"molybdopterin synthase sulphurylase protein, putative",0.6319603858677806,6.003063400810392e-06,31.56599936184928,5.221627069858069,0.0033737216312554404
Tb927.4.600,"Alpha/beta hydrolase family, putative",4,0.6733755104478812,0.5285713188707577,0.6898358774471746,15.44,1.1886472959997174,6.483444648098535,0,0.0,Tb927.4.600,"Alpha/beta hydrolase family, putative",0.6305942355886045,0.0002502955564412228,12.308531149821755,3.601546860460443,0.1406661027199672
Tb927.4.2750,"hypothetical protein, conserved",8,0.6119277672153374,0.6475447697089667,0.6030268900815178,63.004,1.799368122831065,6.666854802523345,0,0.0,Tb927.4.2750,"hypothetical protein, conserved",0.620833142335274,1.377566193034665e-06,45.64704099972681,5.860887523816271,0.0007741922004854818
Tb927.4.3640,"serine threonine-protein phosphatase PP1, putative",2,0.398788147633769,0.5773442277309094,0.82268936446939,12.663,1.1025366068740705,6.046963154123424,0,0.0,Tb927.4.3640;Tb927.4.3630,"serine threonine-protein phosphatase PP1, putative; serine threonine-protein phosphatase PP1, putative",0.5996072466113561,0.008161697859389794,4.879815092045836,2.0882194865571786,1.0
Tb927.5.3120,"eukaryotic translation initiation factor 2 beta subunit, putative",10,0.6806844229944818,0.5200450240398179,0.5907217700098412,48.443999999999996,1.6852399954579391,6.851832949859927,0,0.0,Tb927.5.3120,"eukaryotic translation initiation factor 2 beta subunit, putative",0.5971504056813802,0.00021168098309130168,12.846401250708286,3.6743181561963696,0.11896471249731154
Tb927.5.4560,"guanine deaminase, putative",18,0.5585615318004572,0.5663768003211246,0.6379347755351448,193.79,2.2873313627205776,7.348382756417916,0,0.0,Tb927.5.4560;Tb11.v5.0409;Tb05.5K5.200,"guanine deaminase, putative; guanine deaminase, putative; guanine deaminase, putative",0.5876243692189088,2.0225180446082752e-05,23.266567068479407,4.694107594986967,0.011366551410698507
Tb927.8.1950,"hypothetical protein, conserved",13,0.6089038425274241,0.6364506166789771,0.49927188316908827,62.931999999999995,1.798871533990639,7.17819969914806,0,0.0,Tb927.8.1950,"hypothetical protein, conserved",0.5815421141251632,0.00015619442858884873,13.88038131461893,3.806334461343947,0.08778126886693298
Tb927.11.5040,"leucine-rich repeat protein (LRRP), putative",5,0.20576784014981817,0.5633534058553107,0.9381728563451569,31.701999999999998,1.5010866616361955,6.210933535357622,0,0.0,Tb927.11.5040,"leucine-rich repeat protein (LRRP), putative",0.5690980341167619,0.05457589571200088,2.691450053803919,1.2629991278206163,1.0
Tb927.3.2900,Eukaryotic translation initiation factor 2 subunit alpha,7,0.5514914085474946,0.5964581395589854,0.5591491477372572,37.108000000000004,1.5694675479254352,6.772108908989908,0,0.0,Tb927.3.2900,Eukaryotic translation initiation factor 2 subunit alpha,0.5690328986145791,2.1215113585349537e-06,40.9680885500261,5.67335463868603,0.001192289383496644
Tb927.11.7140,"cell cycle sequence binding phosphoprotein (RBP45), putative",10,0.5378427213213803,0.5793732670673875,0.5707543551338675,43.836000000000006,1.6418309182595416,6.849247381914316,0,0.0,Tb927.11.7140,"cell cycle sequence binding phosphoprotein (RBP45), putative",0.5626567811742117,1.5297890848617895e-06,44.46457784192221,5.815368442120228,0.0008597414656923257
Tb927.8.1510,"ATP-dependent RNA helicase DBP2B, putative",17,0.5214528258224312,0.5874610073779383,0.563841478880328,96.37299999999999,1.9839553783692438,7.5275139016916155,0,0.0,Tb927.8.1510,"ATP-dependent RNA helicase DBP2B, putative",0.5575851040268991,8.561896074279523e-06,28.875479457513837,5.067430048008466,0.004811785593745092
Tb927.1.3910,"TPR repeat, putative",6,0.19295161806984965,0.6061579252356459,0.8566272116983901,19.324,1.2860970288144822,6.11216914800166,0,0.0,Tb927.1.3910,"TPR repeat, putative",0.5519122516679619,0.04628788070705165,2.8523039051592978,1.3345327029567204,1.0
Tb927.8.1190,eukaryotic translation initiation factor 3 subunit h,5,0.5668638517557797,0.5107594215521696,0.559638644922725,25.51,1.40671045860979,6.597881585468683,0,0.0,Tb927.8.1190;Tb927.8.1170;Tb11.v5.0871,"eukaryotic translation initiation factor 3 subunit h; eukaryotic translation initiation factor 3 subunit h; hypothetical protein, conserved",0.5457539727435581,6.475724631344052e-06,30.971528471738655,5.18871162712534,0.003639357242815357
