[Input ID],Gene_desc,unique,logRatio_1,logRatio_2,logRatio_3,logScore,logInt,[SignalP Peptide],[# TM Domains],Gene_id_all,Gene_desc_all,logratio_mean
Tb927.3.2610,GPI inositol deacylase 2,11,4.032982416699429,4.10156603968603,3.6974402355911065,1.6746039769716101,7.514095957729699,0,10.0,Tb927.3.2610,GPI inositol deacylase 2,3.9439962306588554
Tb927.5.1640,"hypothetical protein, conserved",13,1.6641187073387997,1.5547361832224582,1.2124448290517393,1.7349917405428772,6.552643885207573,0,0.0,Tb927.5.1640,"hypothetical protein, conserved",1.477099906537666
Tb11.v5.0831,"kinesin motor domain containing protein, putative",4,1.1823109180256963,1.1496495818949755,1.3765682254257077,1.6611782849298105,6.835728610219096,0,0.0,Tb11.v5.0831;Tb927.3.3400,"kinesin motor domain containing protein, putative; kinesin, putative",1.2361762417821265
Tb927.11.12820,ribonucleoside-diphosphate reductase small chain,4,0.7328335747409284,1.2471376115335855,1.453701937408949,1.3045982263436373,6.042260406689452,0,1.0,Tb927.11.12820;Tb927.11.12810;Tb927.11.12800;Tb927.11.12790;Tb927.11.12780;Tb11.v5.0288,"ribonucleoside-diphosphate reductase small chain; ribonucleoside-diphosphate reductase small chain; ribonucleoside-diphosphate reductase small chain; ribonucleoside-diphosphate reductase small chain; ribonucleoside-diphosphate reductase small chain, putative; ribonucleoside-diphosphate reductase small chain, putative",1.1445577078944877
Tb927.10.9980,"hypothetical protein, conserved",14,0.9667995846272036,0.9676113104586879,0.9824369177670543,2.09011691075201,7.427047698387574,0,0.0,Tb927.10.9980,"hypothetical protein, conserved",0.9722826042843152
Tb927.5.4500,"ras-like small GTPase, putative",7,0.7367347444911975,1.257614130049541,0.8099905839752052,1.6345477995001125,6.559643336466725,1,0.0,Tb927.5.4500;Tb05.5K5.150,"ras-like small GTPase, putative; small GTP-binding protein, putative",0.9347798195053145
Tb927.3.5040,"hypothetical protein, conserved",23,0.853756175843635,0.8622728411865622,0.9392265777282087,1.7970735542037906,7.577319426553794,0,0.0,Tb927.3.5040,"hypothetical protein, conserved",0.8850851982528019
Tb927.10.1140,epsilon tubulin,5,1.1335635257411059,0.6818540177410607,0.5653047080272501,1.6031660326526997,6.966686020283003,0,0.0,Tb927.10.1140;Tb11.0530,epsilon tubulin; epsilon tubulin,0.7935740838364721
Tb927.10.13800,"hypothetical protein, conserved",13,0.7489763892462132,0.6870606883398924,0.889629290673427,1.6996643202023733,7.46250281495166,0,0.0,Tb927.10.13800,"hypothetical protein, conserved",0.7752221227531776
Tb927.4.2890,"hypothetical protein, conserved",16,0.8503193781873066,0.5729866530625383,0.8638591792878826,1.822285793845304,7.019490162997508,0,0.0,Tb927.4.2890,"hypothetical protein, conserved",0.7623884035125759
