Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides DEAC2	Peptides SM	Razor + unique peptides DEAC2	Razor + unique peptides SM	Unique peptides DEAC2	Unique peptides SM	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Q-value	Score	Identification type DEAC2	Identification type SM	Sequence coverage DEAC2 [%]	Sequence coverage SM [%]	Intensity	Intensity DEAC2	Intensity SM	iBAQ	iBAQ DEAC2	iBAQ SM	LFQ intensity DEAC2	LFQ intensity SM	MS/MS count DEAC2	MS/MS count SM	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__H-INV:HIT000292931	CON__H-INV:HIT000292931	3	1	1		1	3	1	1	1	3	0	1	0	1	7	2.9	2.9	49.448	443	443	13							1		0.0096108	6.3176	By matching	By MS/MS	2	7	1067100	0	1067100	42682	0	42682	0	252790	0	1	1			+	0	2604;4167;7054	False;True;False	2841;2842;4530;7830	6777;6778;10500;18387;18388;18389;18390;18391	7614;7615;11761;20507;20508;20509;20510	7614;11761;20507	0;1	149;338
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533	CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533	4;3;3;3	4;3;3;3	2;1;1;1	;;;	4	4	4	2	0	4	0	4	0	2	10.1	10.1	6.6	53.5	486	486;493;493;505	11					4				0	28.774		By MS/MS	0	10.1	1667700	0	1667700	53797	0	53797	0	720480	0	7	7			+	1	1089;6418;9283;10605	True;True;True;True	1171;6975;10234;11685	2933;16264;24156;27656	3395;18148;26779;26780;26781;30660;30661	3395;18148;26780;30661		
CON__O76011;CON__Q8IUT8	CON__O76011;CON__Q8IUT8	5;4	2;1	2;1	;	2	5	2	2	1	5	0	2	0	2	11.9	5.8	5.8	44.689	394	394;436	11					2				0	13.144	By matching	By MS/MS	2	11.9	128670	0	128670	5594.3	0	5594.3	0	55587	0	2	2			+	2	4512;5271;5835;8942;9233	False;False;True;True;False	4902;5748;6343;9861;10178	11352;13391;13392;14751;23270;24012;24013;24014	12725;14922;16439;25764;26613;26614	12725;14922;16439;25764;26614		
CON__P00761	CON__P00761	3	3	3		1	3	3	3	2	3	2	3	2	3	16.5	16.5	16.5	24.409	231	231	6.5	7	22	4	5	6	12	4	6	0	32.595	By MS/MS	By MS/MS	7.8	16.5	7554500000	3442600000	4112000000	686780000	312960000	373820000	1187300000	2051000000	51	65	116			+	3	5501;6188;9808	True;True;True	5988;6728;10812	13884;15654;15655;15656;15657;15658;15659;15660;15661;25515;25516;25517;25518;25519;25520;25521;25522;25523;25524;25525;25526;25527;25528;25529;25530;25531;25532;25533;25534;25535;25536;25537;25538;25539;25540;25541;25542;25543;25544;25545;25546;25547;25548;25549;25550;25551;25552;25553;25554;25555;25556;25557;25558;25559;25560;25561;25562;25563;25564;25565;25566;25567;25568;25569;25570;25571	15442;15443;17422;17423;17424;17425;17426;17427;28319;28320;28321;28322;28323;28324;28325;28326;28327;28328;28329;28330;28331;28332;28333;28334;28335;28336;28337;28338;28339;28340;28341;28342;28343;28344;28345;28346;28347;28348;28349;28350;28351;28352;28353;28354;28355;28356;28357;28358;28359;28360;28361;28362;28363;28364;28365;28366;28367;28368;28369;28370;28371;28372;28373;28374;28375;28376;28377;28378;28379;28380;28381;28382;28383;28384;28385;28386;28387;28388;28389;28390;28391;28392;28393;28394;28395;28396;28397;28398;28399;28400;28401;28402;28403;28404;28405;28406;28407;28408;28409;28410;28411;28412;28413;28414;28415;28416;28417;28418;28419;28420;28421;28422;28423;28424;28425;28426	15442;17425;28330		
CON__P01966	CON__P01966	3	3	3		1	3	3	3	3	2	3	2	3	2	25.4	25.4	25.4	15.184	142	142	6				8				2	0	22.165	By MS/MS	By MS/MS	25.4	16.9	10837000	9328100	1508800	1204100	1036500	167650	1728600	540160	9	2	11			+	4	2822;6563;10059	True;True;True	3073;7168;7169;11082	7260;16729;16730;16731;16732;26198;26199;26200;26201;26202	8129;18641;18642;18643;18644;29150;29151;29152;29153;29154;29155	8129;18643;29150	2	33
CON__P02533;CON__Q61782	CON__P02533	31;4	27;4	4;1		2	31	27	4	29	26	25	22	3	3	61	55.7	14	51.621	472	472;93	7.04	12	11	18	30	28	9	10	11	0	323.31	By MS/MS	By MS/MS	58.9	52.8	408760000	223240000	185520000	14095000	7697900	6397300	71863000	76416000	75	62	137			+	5	520;719;824;825;1102;1235;1844;2511;3695;3730;4558;4584;4705;4762;5065;5170;5268;5270;5408;5723;6767;6993;7979;8164;9084;9289;9508;10229;10662;10791;11045	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;True;True;True;True;True;True;False;True;True	551;776;885;886;1184;1326;2004;2739;4022;4062;4954;4955;4985;5133;5196;5528;5642;5745;5747;5893;6224;7491;7492;7764;7765;8830;9024;10016;10240;10481;11262;11744;11745;11884;12162	1403;1404;1405;1406;1407;1408;1409;1410;1920;1921;1922;1923;1924;1925;1926;1927;2207;2208;2209;2210;2211;2212;2213;2214;2215;2216;2217;2965;2966;2967;3244;3245;3246;3247;3248;4903;4904;4905;6539;6540;6541;6542;6543;6544;6545;6546;9438;9439;9526;9527;9528;9529;9530;9531;9532;9533;11492;11493;11494;11495;11496;11497;11564;11949;11950;12086;12087;12088;12089;12090;12091;12867;13127;13128;13129;13130;13131;13132;13133;13134;13135;13364;13365;13366;13367;13368;13369;13370;13371;13372;13373;13374;13375;13376;13377;13384;13385;13386;13387;13388;13389;13390;13707;13708;13709;14499;14500;14501;14502;14503;14504;14505;17586;17587;17588;18221;18222;18223;18224;18225;18226;18227;18228;18229;18230;18231;18232;18233;20777;21244;21245;21246;21247;21248;23648;23649;24171;24172;24173;24174;24175;24176;24177;24178;24179;24180;24758;24759;24760;26594;26595;26596;26597;26598;26599;26600;26601;27760;27761;27762;27763;27764;27765;27766;27767;27768;27769;27770;27771;27772;27773;27774;27775;27776;27777;27778;27779;27780;27781;27782;27783;27784;27785;27786;27787;28137;28701	1658;1659;1660;1661;1662;1663;1664;1665;1666;1667;1668;1669;1670;2242;2243;2244;2245;2246;2247;2248;2249;2250;2251;2252;2570;2571;2572;2573;2574;2575;2576;2577;2578;2579;2580;2581;3428;3429;3430;3431;3746;3747;3748;3749;3750;5542;5543;5544;7374;7375;7376;7377;7378;7379;7380;7381;7382;7383;10580;10581;10693;10694;10695;10696;10697;10698;10699;10700;10701;12889;12890;12891;12954;12955;13404;13543;13544;13545;13546;13547;13548;14378;14639;14640;14641;14642;14643;14644;14645;14646;14647;14648;14649;14650;14651;14652;14901;14902;14903;14904;14905;14906;14907;14908;14909;14910;14917;14918;14919;14920;14921;15254;15255;15256;15257;16166;16167;16168;16169;16170;16171;19615;19616;19617;19618;20333;20334;20335;20336;20337;20338;20339;20340;20341;20342;23072;23580;23581;23582;23583;23584;26180;26181;26796;26797;26798;26799;26800;26801;26802;26803;26804;26805;27471;27472;27473;27474;29569;29570;29571;29572;29573;29574;29575;29576;29577;29578;30763;30764;30765;30766;30767;30768;30769;30770;30771;30772;30773;30774;30775;30776;30777;30778;30779;30780;30781;30782;30783;30784;30785;30786;30787;30788;30789;30790;30791;30792;30793;30794;30795;31157;31778	1663;2247;2575;2580;3428;3747;5543;7383;10580;10698;12891;12955;13404;13544;14378;14649;14907;14920;15254;16170;19617;20334;23072;23584;26181;26802;27473;29575;30772;31157;31778	3;4;5;6;7	119;212;257;272;287
CON__P02538;CON__Q8VED5;CON__P05787;CON__H-INV:HIT000016045;CON__Q9H552	CON__P02538	32;7;5;2;2	20;2;1;0;0	2;0;0;0;0		5	32	20	2	28	27	17	16	2	2	47	33.5	3.5	60.044	564	564;531;483;99;499	5.56	11	5	9	18	19		1	1	0	192.82	By MS/MS	By MS/MS	42.6	42.7	90929000	45262000	45668000	3031000	1508700	1522300	15516000	18642000	42	23	65			+	6	198;210;424;770;844;1753;1755;2604;2644;2645;3582;3706;3744;4741;5039;5393;5724;7045;7054;7055;7063;7245;7462;7486;7569;8280;8678;8681;8956;8957;10922;11028	True;True;True;False;True;False;True;True;False;False;True;False;True;True;False;True;False;True;False;False;False;True;True;True;False;True;True;True;True;True;False;True	209;221;441;830;906;1904;1905;1907;2841;2842;2884;2885;3896;4035;4077;5173;5498;5876;6225;7821;7830;7831;7839;8042;8279;8305;8397;9146;9577;9580;9876;9877;12023;12141	571;572;573;574;575;576;577;614;615;1111;1112;1113;1114;1115;2039;2040;2041;2042;2043;2044;2045;2046;2047;2248;2249;4593;4594;4595;4596;4597;4598;4603;4604;4605;6777;6778;6866;6867;6868;6869;6870;6871;6872;6873;6874;6875;6876;6877;6878;9177;9178;9471;9558;9559;9560;9561;12034;12035;12036;12037;12038;12798;12799;13662;14506;14507;14508;14509;14510;14511;14512;18361;18362;18387;18388;18389;18390;18391;18392;18393;18394;18395;18396;18397;18398;18399;18400;18401;18402;18416;18417;18418;18419;18420;18421;18422;18423;18424;18425;18965;18966;18967;18968;18969;18970;19550;19615;19849;19850;19851;19852;21514;21515;21516;21517;22631;22632;22636;23312;23313;23314;23315;23316;23317;23318;23319;23320;28399;28400;28401;28402;28403;28404;28405;28406;28407;28644;28645;28646;28647;28648	668;669;670;671;672;673;674;675;676;733;734;1321;1322;1323;1324;1325;2376;2377;2378;2379;2380;2381;2382;2383;2384;2385;2386;2610;5227;5228;5229;5230;5231;5236;5237;7614;7615;7714;7715;7716;7717;7718;7719;7720;7721;7722;7723;7724;7725;10302;10303;10632;10728;10729;10730;10731;10732;13494;13495;13496;13497;14304;14305;15208;16172;16173;16174;16175;16176;16177;16178;16179;16180;16181;16182;20481;20482;20507;20508;20509;20510;20511;20512;20513;20514;20515;20516;20517;20518;20519;20520;20536;20537;20538;20539;20540;20541;20542;20543;20544;20545;20546;20547;21121;21122;21123;21124;21125;21126;21778;21852;22096;22097;22098;22099;22100;23879;23880;23881;23882;25087;25088;25092;25813;25814;25815;25816;25817;25818;25819;25820;25821;25822;31446;31447;31448;31449;31450;31451;31452;31453;31454;31455;31456;31457;31712;31713;31714;31715;31716	674;734;1325;2384;2610;5228;5237;7614;7720;7725;10302;10632;10732;13495;14305;15208;16173;20481;20507;20515;20545;21126;21778;21852;22098;23882;25087;25092;25816;25819;31450;31716	0;8	279;452
CON__P02663	CON__P02663	2	2	2		1	2	2	2	2	1	2	1	2	1	9.2	9.2	9.2	24.348	207	207	6.33				2	1				0	12.715	By MS/MS	By MS/MS	9.2	3.9	807200	574220	232980	73382	52202	21180	163080	0	3	1	4			+	7	587;2631	True;True	624;2871	1558;6843;6844	1842;1843;7688;7689	1842;7689		
CON__P02754	CON__P02754	1	1	1		1	1	1	1	0	1	0	1	0	1	8.6	8.6	8.6	18.281	162	162	11					1				0.0036288	7.031		By MS/MS	0	8.6	214380	0	214380	19489	0	19489	0	92616	0	1	1			+	8	9421	True	10387	24546	27238	27238		
CON__P02768-1	CON__P02768-1	13	8	8		1	13	8	8	11	9	6	6	6	6	19.9	13.6	13.6	69.366	609	609	7.08		1		6	6				0	77.147	By MS/MS	By MS/MS	16.3	14.4	4122500	2967800	1154800	114520	82438	32077	721340	661180	7	6	13			+	9	11;32;288;1092;5144;6281;6356;6386;7720;9038;10456;11119;11198	True;True;True;False;False;True;True;False;True;True;False;True;False	12;33;302;1174;5614;6829;6910;6941;8557;9967;11513;12240;12327	32;33;77;78;787;2938;2939;2940;2941;2942;2943;13044;13045;13046;13047;13048;13049;13050;15894;15895;16125;16186;16187;16188;16189;20191;23514;27186;27187;28914;28915;28916;29112;29113;29114;29115	45;46;96;97;923;3401;3402;3403;3404;14550;14551;14552;14553;14554;14555;14556;14557;17721;17722;18000;18058;18059;22458;26030;30176;30177;32075;32076;32077;32296;32297;32298;32299	46;96;923;3402;14554;17721;18000;18059;22458;26030;30176;32077;32298		
