Gene_id,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides DEAC2,Peptides SM,Razor + unique peptides DEAC2,Razor + unique peptides SM,Unique peptides DEAC2,Unique peptides SM,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 3,Fraction 4,Fraction 11,Fraction 12,Fraction 13,Fraction 14,Q-value,Score,Identification type DEAC2,Identification type SM,Sequence coverage DEAC2 [%],Sequence coverage SM [%],Intensity,Intensity DEAC2,Intensity SM,iBAQ,iBAQ DEAC2,iBAQ SM,LFQ intensity DEAC2,LFQ intensity SM,MS/MS count DEAC2,MS/MS count SM,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Gene_desc,Log2 H/L,Log10 (Int H*L),Group,Glycosome status ,log2_DEAC2,log2_ibaq_DEAC2,log2_int_DEAC2,log10_int
Tb927.5.4460,Tb927.5.4460:mRNA-p1;Tb05.5K5.110:mRNA-p1;Tb11.v5.0866.1-p1,Tb927.5.4460:mRNA-p1;Tb05.5K5.110:mRNA-p1;Tb11.v5.0866.1-p1,30;30;15,30;30;15,30;30;15,;;,3,30,30,30,29,10,29,10,29,10,48.2,48.2,48.2,94.102,838,838;838;519,4.81,2.0,35.0,,,3.0,11.0,1.0,,0.0,228.89,By MS/MS,By MS/MS,47.3,11.6,30200000,20121000,10079000,592150.0,394520.0,197630.0,17434000,21953000.0,51,17,68,,,,71,341;1156;1180;2199;2899;2932;2952;3130;3134;3143;3883;4385;4771;4932;6300;6920;6960;7192;7630;7676;7732;7928;9287;9462;9654;9751;9894;9964;10048;10750,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,356;1242;1243;1269;2383;3155;3191;3214;3399;3403;3413;4225;4761;5205;5377;6848;7682;7725;7981;8462;8510;8569;8570;8775;10238;10432;10645;10646;10752;10906;10982;11071;11837,891;3081;3082;3124;3125;5671;5672;5673;7491;7550;7615;8043;8044;8045;8050;8084;9901;11018;11019;12110;12111;12112;12480;15937;18016;18122;18792;19975;19976;20056;20236;20237;20238;20239;20648;20649;24167;24638;25140;25141;25142;25143;25144;25396;25787;25952;26161;26162;26163;26164;26165;28023,1046;1047;3557;3558;3559;3607;3608;6379;6380;8426;8427;8428;8493;8494;8555;9072;9073;9079;9110;11117;11118;12356;12357;12358;12359;13567;13568;13967;17765;20091;20092;20219;20924;20925;22223;22224;22312;22521;22522;22523;22524;22525;22526;22935;22936;26791;26792;26793;27333;27894;27895;27896;27897;27898;27899;27900;28192;28652;28855;28856;28857;29108;29109;29110;29111;29112;29113;31040;31041,1047;3557;3607;6379;8427;8493;8555;9073;9079;9110;11118;12358;13567;13967;17765;20091;20219;20925;22224;22312;22524;22936;26792;27333;27899;28192;28652;28857;29110;31040,55;56;57;58,251;405;481;797,"major vault protein, putative",0.263530602,14.05060529,i,red,1.5305147166987798,0.9959259548706704,0.9957596490930088,7.480006942957151
Tb927.5.4480,Tb927.5.4480:mRNA-p1;Tb05.5K5.130:mRNA-p1,Tb927.5.4480:mRNA-p1;Tb05.5K5.130:mRNA-p1,1;1,1;1,1;1,;,2,1,1,1,1,0,1,0,1,0,1.9,1.9,1.9,68.313,579,579;579,3.0,,,1.0,,,,,,0.006487000000000001,6.6162,By MS/MS,,1.9,0.0,40072,40072,0,1252.3,1252.3,0.0,11827,0.0,1,0,1,,,,72,1715,True,1862,4487,5111,5111,,,"paraflagellar rod component par4, putative",0.035299371,14.19344935,i,red,1.0,2.1124103440180084,1.4841874063109532,4.602841018681458
Tb927.5.4500,Tb927.5.4500:mRNA-p1;Tb05.5K5.150:mRNA-p1,Tb927.5.4500:mRNA-p1;Tb05.5K5.150:mRNA-p1,7;7,7;7,7;7,;,2,7,7,7,6,7,6,7,6,7,44.3,44.3,44.3,21.771,194,194;194,9.0,,,,8.0,,,,8.0,0.0,81.535,By MS/MS,By MS/MS,34.0,44.3,10190000,5466700,4723100,783830.0,420520.0,363310.0,1671200,1228500.0,9,11,20,,,,73,1005;4524;7487;9423;9862;10123;10885,True;True;True;True;True;True;True,1083;4914;8306;8307;10389;10873;11148;11982,2762;11372;11373;19616;19617;19618;19619;24549;24550;25712;25713;25714;26347;26348;28337;28338,3215;3216;12749;12750;12751;21853;21854;21855;21856;21857;21858;27241;27242;28571;28572;28573;29320;29321;31383;31384,3215;12749;21853;27242;28571;29321;31384,59,112,"ras-like small GTPase, putative",0.429018199,16.99821768,i,red,-0.2630344058337938,0.21077001474587329,0.21001396855135762,7.0081656599879
Tb927.5.4360,Tb927.5.4360:mRNA-p1;Tb05.5K5.20:mRNA-p1,Tb927.5.4360:mRNA-p1;Tb05.5K5.20:mRNA-p1,1;1,1;1,1;1,;,2,1,1,1,1,0,1,0,1,0,5.6,5.6,5.6,36.427,322,322;425,4.0,,,,1.0,,,,,0.0040424,6.7675,By MS/MS,,5.6,0.0,156380,156380,0,9198.8,9198.8,0.0,44413,0.0,1,0,1,,,,74,8310,True,9180,21606,23978,23978,,,"hypothetical protein, conserved",,,,,1.0,4.667749513006321,3.00271560120145,5.1941812087938475
Tb927.5.4560,Tb927.5.4560:mRNA-p1;Tb11.v5.0409.1-p1;Tb05.5K5.200:mRNA-p1,Tb927.5.4560:mRNA-p1;Tb11.v5.0409.1-p1;Tb05.5K5.200:mRNA-p1,10;10;10,10;10;10,10;10;10,;;,3,10,10,10,7,9,7,9,7,9,25.2,25.2,25.2,55.321000000000005,516,516;516;516,8.88,,,7.0,,,,10.0,,0.0,102.28,By MS/MS,By MS/MS,17.8,23.1,4221600,1352500,2869100,150770.0,48305.0,102470.0,418690,660190.0,8,11,19,,,,75,506;535;1287;4627;5049;8118;8162;9783;10081;11053,True;True;True;True;True;True;True;True;True;True,535;569;1383;5042;5509;8975;9022;10786;11104;12172,1355;1356;1455;3375;11721;12820;12821;21118;21239;21240;25468;25469;26260;26261;26262;28725;28726,1595;1596;1730;3878;13142;14330;14331;14332;23426;23575;23576;28267;28268;29216;29217;29218;29219;31801;31802,1596;1730;3878;13142;14332;23426;23576;28267;29216;31802,,,"guanine deaminase, putative",,,,,-0.4150374992788438,-1.079043581217745,-1.0725508535051091,6.625477081169067
Tb927.5.4580,Tb927.5.4580:mRNA-p1;Tb05.5K5.220:mRNA-p1;Tb11.v5.0364.1-p1;Tb927.5.4570:mRNA-p1;Tb05.5K5.210:mRNA-p1,Tb927.5.4580:mRNA-p1;Tb05.5K5.220:mRNA-p1;Tb11.v5.0364.1-p1;Tb927.5.4570:mRNA-p1;Tb05.5K5.210:mRNA-p1,3;3;3;2;2,3;3;3;2;2,3;3;3;2;2,;;;;,5,3,3,3,2,3,2,3,2,3,4.9,4.9,4.9,88.633,818,818;818;820;818;818,6.62,2.0,2.0,,,2.0,1.0,1.0,,0.0,24.267,By MS/MS,By MS/MS,3.3,4.9,1225300,606840,618490,29886.0,14801.0,15085.0,457310,842510.0,4,4,8,,,,76,3357;9116;9387,True;True;True,3648;10051;10352,8554;8555;8556;8557;23709;24480;24481;24482,9644;9645;9646;9647;9648;26250;27166;27167,9647;26250;27166,60,693,Uncharacterized protein,,,,,0.0,-0.02674571459272247,-0.02647087716329025,6.08825306656059
Tb927.5.4380,Tb927.5.4380:mRNA-p1;Tb05.5K5.30:mRNA-p1,Tb927.5.4380:mRNA-p1;Tb05.5K5.30:mRNA-p1,1;1,1;1,1;1,;,2,1,1,1,1,0,1,0,1,0,2.4,2.4,2.4,71.37,636,636;636,3.0,,,1.0,,,,,,0.0028217,8.4965,By MS/MS,,2.4,0.0,240100,240100,0,7503.3,7503.3,0.0,70863,0.0,2,0,2,,,,77,4674,True,5094,11831,13263;13264,13263,,,"kinetoplastid-specific phospho-protein phosphatase, putative",0.109606755,16.64068683,i,red,1.584962500721156,4.386598293594786,3.557125771039287,5.380392160057028
Tb927.5.4390,Tb927.5.4390:mRNA-p1;Tb05.5K5.40:mRNA-p1,Tb927.5.4390:mRNA-p1;Tb05.5K5.40:mRNA-p1,1;1,1;1,1;1,;,2,1,1,1,1,1,1,1,1,1,9.6,9.6,9.6,15.062999999999999,135,135;135,9.0,,,,1.0,,,,1.0,0.002681,7.4971,By MS/MS,By MS/MS,9.6,9.6,315630,180040,135590,45091.0,25720.0,19371.0,0,40875.0,1,1,2,,,,78,90,True,94,217;218,237;238,238,,,"hypothetical protein, conserved",,,,,0.0,0.4021822188838293,0.3578778086063091,5.499178275320827
Tb927.5.4420,Tb927.5.4420:mRNA-p1;Tb05.5K5.70:mRNA-p1,Tb927.5.4420:mRNA-p1;Tb05.5K5.70:mRNA-p1,11;11,11;11,11;11,;,2,11,11,11,11,3,11,3,11,3,20.1,20.1,20.1,68.786,632,632;632,5.18,,1.0,12.0,,,2.0,2.0,,0.0,91.39200000000001,By MS/MS,By MS/MS,20.1,5.5,5495800,4962800,532950,137390.0,124070.0,13324.0,1221800,879550.0,13,4,17,,,,80,2192;2719;3630;3699;3724;4988;5363;7131;9297;9744;10262,True;True;True;True;True;True;True;True;True;True;True,2375;2965;3950;4027;4055;4056;5441;5846;7916;10248;10744;11298,5656;5657;7033;9293;9445;9515;9516;9517;12689;13601;18636;24201;24202;25382;25383;25384;26711,6362;7896;10424;10588;10678;10679;10680;10681;10682;14184;15146;20749;26832;26833;28174;28175;29703,6362;7896;10424;10588;10678;14184;15146;20749;26832;28174;29703,62,502,"nucleolar RNA helicase II, putative",-0.295218062,16.93882413,i,red,1.4854268271702418,3.1832036523429856,3.166431523348803,6.7400269685766165
Tb06.3A7.960,Tb06.3A7.960:mRNA-p1,Tb06.3A7.960:mRNA-p1,1,1,1,,1,1,1,1,0,1,0,1,0,1,3.9,3.9,3.9,34.146,310,310,12.0,,,,,,1.0,,,0.0086999,6.3661,,By MS/MS,0.0,3.9,69682,0,69682,6334.7,0.0,6334.7,0,166740.0,0,1,1,,,,81,4259,True,4626,10677,11971,11971,,,hypothetical protein,,,,,-1.0,-4.155017364696682,-2.044700026854059,4.843120607219163
